1,213,220,218,241,230,212,212,213,220,218,241,230,212,212
2,68,75,72,82,132,133,72,68,75,72,82,132,133,72
3,75,75,75,75,81,76,74,75,75,75,75,81,76,74
4,123,123,123,123,123,123,123,123,123,123,123,123,123,123
5,169,166,161,136,153,138,162,169,166,161,136,153,138,162
6,61,60,57,64,62,59,58,61,60,57,64,62,59,58
7,125,124,122,139,145,158,117,125,124,122,139,145,158,117
8,63,63,63,63,63,63,63,63,63,63,63,63,63,63
9,172,171,171,179,198,204,177,172,171,171,179,198,204,177
10,40,40,39,40,40,40,40,40,40,39,40,40,40,40
11,57,60,63,67,44,39,57,57,60,63,67,44,39,57
12,46,52,64,58,73,68,52,46,52,64,58,73,68,52
13,162,163,157,167,155,146,159,162,163,157,167,155,146,159
14,58,57,53,56,55,51,58,58,57,53,56,55,51,58
15,109,109,109,109,109,109,109,109,109,109,109,109,109,109
16,40,43,44,57,49,52,42,40,43,44,57,49,52,42
17,74,74,74,82,86,85,64,74,74,74,82,86,85,64
18,62,62,62,62,62,62,62,62,62,62,62,62,62,62
19,136,139,138,146,177,192,139,136,139,138,146,177,192,139
20,97,103,107,99,82,78,112,97,103,107,99,82,78,112
21,69,69,75,90,109,110,68,69,69,75,90,109,110,68
22,69,71,68,83,77,73,77,69,71,68,83,77,73,77
23,37,37,37,37,16,16,37,37,37,37,37,16,16,37
24,55,67,63,74,100,98,54,55,67,63,74,100,98,54
25,91,88,90,104,107,97,84,91,88,90,104,107,97,84
26,48,46,51,45,84,83,47,48,46,51,45,84,83,47
27,63,63,63,64,63,60,65,63,63,63,64,63,60,65
28,54,56,55,62,68,70,48,54,56,55,62,68,70,48
29,59,55,56,80,110,91,59,59,55,56,80,110,91,59
30,50,48,40,50,50,37,47,50,48,40,50,50,37,47
31,377,377,377,377,377,377,377,377,377,377,377,377,377,377
32,368,378,373,365,173,122,375,368,378,373,365,173,122,375
33,62,62,62,62,62,62,62,62,62,62,62,62,62,62
34,261,266,274,325,376,311,250,261,266,274,325,376,311,250
35,144,144,160,146,211,227,144,144,144,160,146,211,227,144
36,50,51,49,53,69,67,52,50,51,49,53,69,67,52
37,126,132,132,154,167,132,118,126,132,132,154,167,132,118
38,87,70,72,75,43,39,68,87,70,72,75,43,39,68
39,148,146,146,167,207,206,158,148,146,146,167,207,206,158
40,87,87,87,87,87,88,87,87,87,87,87,87,88,87
41,126,148,142,191,259,217,132,126,148,142,191,259,217,132
42,60,65,61,67,71,68,63,60,65,61,67,71,68,63
43,66,75,72,111,84,87,72,66,75,72,111,84,87,72
44,41,44,46,46,58,62,42,41,44,46,46,58,62,42
45,37,37,37,37,37,37,37,37,37,37,37,37,37,37
46,121,128,120,126,124,123,129,121,128,120,126,124,123,129
47,117,117,117,117,117,117,117,117,117,117,117,117,117,117
48,428,428,428,428,428,428,428,428,428,428,428,428,428,428
49,353,371,382,379,505,510,356,353,371,382,379,505,510,356
50,67,67,67,67,67,67,67,67,67,67,67,67,67,67
51,73,72,63,63,38,33,73,73,72,63,63,38,33,73
52,49,48,53,74,105,107,52,49,48,53,74,105,107,52
53,126,126,126,126,126,126,126,126,126,126,126,126,126,126
54,223,233,231,233,231,235,237,223,233,231,233,231,235,237
55,280,289,278,323,269,253,262,280,289,278,323,269,253,262
56,57,59,56,61,69,62,51,57,59,56,61,69,62,51
57,171,181,186,193,183,172,177,171,181,186,193,183,172,177
58,1218,1259,1233,1314,1391,1347,1268,1218,1259,1233,1314,1391,1347,1268
59,167,166,168,170,168,167,168,167,166,168,170,168,167,168
60,88,90,92,95,94,87,87,88,90,92,95,94,87,87
61,59,59,57,60,62,61,61,59,59,57,60,62,61,61
62,78,81,78,87,97,94,77,78,81,78,87,97,94,77
63,210,210,210,206,210,210,210,210,210,210,206,210,210,210
64,127,119,97,97,87,79,116,127,119,97,97,87,79,116
65,295,285,295,333,530,585,313,295,285,295,333,530,585,313
66,41,45,50,72,63,55,44,41,45,50,72,63,55,44
67,58,62,61,63,75,73,54,58,62,61,63,75,73,54
68,55,55,55,55,55,55,55,55,55,55,55,55,55,55
69,84,87,91,98,103,92,81,84,87,91,98,103,92,81
70,56,56,56,56,56,56,56,56,56,56,56,56,56,56
71,89,91,94,106,82,77,89,89,91,94,106,82,77,89
72,364,359,358,376,432,429,385,364,359,358,376,432,429,385
73,91,91,91,91,91,91,91,91,91,91,91,91,91,91
74,79,85,87,93,111,106,86,79,85,87,93,111,106,86
75,44,44,44,44,44,44,44,44,44,44,44,44,44,44
76,45,50,51,57,78,65,54,45,50,51,57,78,65,54
77,87,97,92,103,94,99,90,87,97,92,103,94,99,90
78,52,46,49,48,50,50,51,52,46,49,48,50,50,51
79,119,118,116,111,44,40,119,119,118,116,111,44,40,119
80,52,55,57,56,59,60,57,52,55,57,56,59,60,57
81,85,79,82,78,82,83,86,85,79,82,78,82,83,86
82,77,79,75,82,67,61,81,77,79,75,82,67,61,81
83,78,81,77,95,104,98,72,78,81,77,95,104,98,72
84,142,148,158,176,214,209,131,142,148,158,176,214,209,131
85,74,70,71,84,99,92,68,74,70,71,84,99,92,68
86,106,97,97,108,130,132,103,106,97,97,108,130,132,103
87,122,120,119,119,26,29,122,122,120,119,119,26,29,122
88,279,319,316,369,381,383,286,279,319,316,369,381,383,286
89,41,43,48,51,69,65,43,41,43,48,51,69,65,43
90,131,129,139,169,197,207,141,131,129,139,169,197,207,141
91,98,98,98,98,99,98,98,98,98,98,98,99,98,98
92,114,112,123,138,206,185,113,114,112,123,138,206,185,113
93,105,107,104,104,101,101,105,105,107,104,104,101,101,105
94,74,79,78,79,63,78,84,74,79,78,79,63,78,84
95,50,49,53,49,48,46,53,50,49,53,49,48,46,53
96,118,118,118,118,119,118,118,118,118,118,118,119,118,118
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
98,44,49,45,51,58,51,46,44,49,45,51,58,51,46
99,70,65,61,56,47,58,75,70,65,61,56,47,58,75
100,315,288,271,341,290,184,289,315,288,271,341,290,184,289
101,53,52,49,63,78,76,58,53,52,49,63,78,76,58
102,127,127,127,127,127,127,127,127,127,127,127,127,127,127
103,64,64,64,63,64,65,63,64,64,64,63,64,65,63
104,77,77,77,82,74,65,67,77,77,77,82,74,65,67
105,82,89,91,102,136,142,79,82,89,91,102,136,142,79
106,55,56,53,55,53,48,57,55,56,53,55,53,48,57
107,62,60,60,92,155,122,60,62,60,60,92,155,122,60
108,68,76,73,87,100,94,67,68,76,73,87,100,94,67
109,84,86,82,89,86,85,87,84,86,82,89,86,85,87
110,140,143,142,147,136,126,137,140,143,142,147,136,126,137
111,64,68,63,76,70,65,69,64,68,63,76,70,65,69
112,94,95,92,105,131,131,98,94,95,92,105,131,131,98
113,76,72,76,75,65,68,79,76,72,76,75,65,68,79
114,431,452,444,549,356,295,409,431,452,444,549,356,295,409
115,403,403,403,403,403,403,398,403,403,403,403,403,403,398
116,210,210,210,210,210,210,210,210,210,210,210,210,210,210
117,67,65,65,74,106,93,68,67,65,65,74,106,93,68
118,79,77,73,72,41,53,82,79,77,73,72,41,53,82
119,46,44,44,72,88,56,45,46,44,44,72,88,56,45
120,275,275,275,275,275,275,275,275,275,275,275,275,275,275
121,50,50,53,54,56,58,50,50,50,53,54,56,58,50
122,42,46,44,52,55,54,44,42,46,44,52,55,54,44
123,75,76,79,97,85,85,75,75,76,79,97,85,85,75
124,313,314,309,321,359,370,329,313,314,309,321,359,370,329
125,37,35,29,42,50,46,34,37,35,29,42,50,46,34
126,44,45,46,48,47,47,51,44,45,46,48,47,47,51
127,45,51,55,56,75,71,39,45,51,55,56,75,71,39
128,42,46,44,55,67,68,40,42,46,44,55,67,68,40
129,165,182,188,215,263,263,180,165,182,188,215,263,263,180
130,215,221,226,231,281,299,223,215,221,226,231,281,299,223
131,54,55,63,60,60,59,57,54,55,63,60,60,59,57
132,54,58,63,69,74,68,59,54,58,63,69,74,68,59
133,68,70,63,64,36,33,65,68,70,63,64,36,33,65
134,173,181,183,178,171,168,181,173,181,183,178,171,168,181
